date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:22	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-8a75%22	https://themewagon.github.io/Presento/assets/vendor/isotope-layout/isotope.pkgd.min.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://themewagon.github.io/Presento/)
03:12:22	4753/4753	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-1291%22	https://themewagon.github.io/Presento/assets/js/main.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/js/main.js	(from https://themewagon.github.io/Presento/)
03:12:22	130396/130396	---M--	200	added ('OK')	font/woff2	etag:%22675a6d49-1fd5c%22	https://themewagon.github.io/Presento/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff2	(from https://themewagon.github.io/Presento/assets/vendor/bootstrap-icons/bootstrap-icons.css)
03:12:23	176032/176032	---M--	200	added ('OK')	font/woff	etag:%22675a6d49-2afa0%22	https://themewagon.github.io/Presento/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff	(from https://themewagon.github.io/Presento/assets/vendor/bootstrap-icons/bootstrap-icons.css)
03:12:23	83878/83878	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-147a6%22	https://themewagon.github.io/Presento/assets/img/blog/blog-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-1.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:23	25546/25546	---M-Z	200	added ('OK')	text/html	etag:W/%22675a6d49-63ca%22	https://themewagon.github.io/Presento/blog-details.html	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/blog-details.html	(from https://themewagon.github.io/Presento/blog.html)
03:12:24	112816/112816	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-1b8b0%22	https://themewagon.github.io/Presento/assets/img/blog/blog-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-2.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:24	93369/93369	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-16cb9%22	https://themewagon.github.io/Presento/assets/img/blog/blog-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-3.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:24	104099/104099	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-196a3%22	https://themewagon.github.io/Presento/assets/img/blog/blog-4.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-4.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:25	83411/83411	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-145d3%22	https://themewagon.github.io/Presento/assets/img/blog/blog-recent-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-recent-1.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:25	78239/78239	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-1319f%22	https://themewagon.github.io/Presento/assets/img/blog/blog-recent-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-recent-2.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:25	71055/71055	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-1158f%22	https://themewagon.github.io/Presento/assets/img/blog/blog-recent-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-recent-3.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:25	115012/115012	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-1c144%22	https://themewagon.github.io/Presento/assets/img/blog/blog-recent-4.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-recent-4.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:26	93369/93369	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-16cb9%22	https://themewagon.github.io/Presento/assets/img/blog/blog-recent-5.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-recent-5.jpg	(from https://themewagon.github.io/Presento/blog.html)
03:12:26	54414/54414	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-d48e%22	https://themewagon.github.io/Presento/assets/img/services.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/services.jpg	(from https://themewagon.github.io/Presento/service-details.html)
03:12:26	85335/85335	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-14d57%22	https://themewagon.github.io/Presento/assets/img/blog/blog-inside-post.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-inside-post.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
03:12:27	64790/64790	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-fd16%22	https://themewagon.github.io/Presento/assets/img/blog/blog-author.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/blog-author.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
03:12:27	17444/17444	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-4424%22	https://themewagon.github.io/Presento/assets/img/blog/comments-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/comments-1.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
03:12:27	15407/15407	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-3c2f%22	https://themewagon.github.io/Presento/assets/img/blog/comments-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/comments-2.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
03:12:27	17041/17041	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-4291%22	https://themewagon.github.io/Presento/assets/img/blog/comments-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/comments-3.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
03:12:28	17774/17774	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-456e%22	https://themewagon.github.io/Presento/assets/img/blog/comments-4.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/comments-4.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
03:12:28	10855/10855	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-2a67%22	https://themewagon.github.io/Presento/assets/img/blog/comments-5.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/comments-5.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
03:12:28	14253/14253	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-37ad%22	https://themewagon.github.io/Presento/assets/img/blog/comments-6.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/blog/comments-6.jpg	(from https://themewagon.github.io/Presento/blog-details.html)
